2120,194,194,194,194,194,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,131,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,131,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,131,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,131,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,131,130,130,130,130,130,130,130,130,130,130,145,146,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
1999,130,131,131,84,85,131,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,131,131,131,84,85,131,131,131,131,145,131,131,84,85,131,131,131,131,145,146,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,85,131,131,131,131,145,146,131,131,131,209,210,131,131,131,131,131,131,131,84,85,131,131,131,131,145,146,131,131
2063,130,130,130,148,149,130,130,130,130,130,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,195,195,130,130,130,148,149,131,195,195,195,209,130,130,148,149,131,195,195,195,209,210,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,195,195,149,131,195,195,195,209,210,195,195,195,195,195,195,195,195,195,195,130,130,148,149,131,195,195,195,209,210,195,195
2016,194,194,194,194,194,194,194,194,194,194,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,194,130,131,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,131,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,194,194,130,131,195,195,195,195,195,195,195,195
270,271,2082,290,291,290,291,160,286,286,194,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,286,286,195,195,2082,130,130,131,291,160,286,286,195,2082,130,130,131,291,160,286,286,130,130,131,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,286,286,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,286,286,195,2082,130,130,131,291,160,286,286,130,130,131,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,286,286,290,194,130,131,160,286,195,2082,130,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,286,286,130,131,291,160,286,286,130,130,131,270,271,2082,290,194,130,131,160,195,2082,130,130,131,291,160,286,286,130,130,131
2144,2145,130,131,290,1992,1992,1993,283,284,2144,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,283,284,2145,2145,130,194,194,195,290,291,283,284,2145,130,194,194,195,290,291,283,284,194,194,195,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,283,284,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,283,284,2145,130,194,194,195,290,291,283,284,194,194,195,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,283,284,131,290,194,195,291,283,2145,130,194,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,283,284,194,195,290,291,283,284,194,194,195,2144,2145,130,131,290,194,195,291,2145,130,194,194,195,290,291,283,284,194,194,195
1999,2000,194,195,1992,2056,2056,2057,1992,1993,1999,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,2000,194,195,194,195,290,291,100,70,2000,194,195,194,195,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,194,195,194,195,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,70,70,70,100
2063,2064,270,271,2056,2120,2120,2121,2056,2057,2063,2144,1999,1999,2000,2144,2145,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,2064,270,271,84,85,155,156,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,270,271,84,85,155,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,2064,270,271,84,85,155,156,130,131,130,130,131
1992,1993,2120,2121,2120,1999,1999,2000,2120,2121,1992,1999,2063,2063,2064,1999,2000,2144,1999,1999,2000,2144,2145,1992,1993,2120,2121,148,149,290,291,228,198,1993,1993,2120,2121,148,149,290,291,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,1993,2120,2121,148,149,290,291,194,195,194,194,195
145,146,146,1996,1999,2144,1999,1999,2000,2144,2145,2063,1992,1992,1993,2063,2064,1999,2063,2063,2064,1999,2000,2144,1999,1999,2000,2144,2145,2144,1999,1999,2000,2144,2145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
