1999,2000,194,195,1992,2056,2056,2057,1992,1993,1999,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,2000,194,195,194,195,290,291,100,70,2000,194,195,194,195,2074,2075,100,70,70,70,100,2000,2074,2075,194,195,290,291,100,70,70,70,100,1999,2000,2000,194,195,194,195,290,291,100,2074,2075,70,100,1999,2074,2074,2075,290,291,290,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,2000,2074,2075,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,2000,194,195,194,195,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,70,70,70,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194
2063,2064,270,271,2056,2120,2120,2121,2056,2057,2063,2144,1999,1999,2000,2144,2145,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,2064,2074,2075,84,85,155,156,130,131,2064,270,271,84,85,2074,2075,130,131,130,130,131,2064,2074,2075,84,85,155,156,130,131,130,130,131,2063,2064,2064,270,271,84,85,155,156,130,2074,2075,130,131,2063,2074,2074,2075,84,85,155,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,2064,2074,2075,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,2064,270,271,84,85,155,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,2064,270,271,84,85,155,156,130,131,130,130,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100
1992,1993,2120,2121,2120,1999,1999,2000,2120,2121,1992,1999,2063,2063,2064,1999,2000,2144,1999,1999,2000,2144,2145,1992,1993,2120,2121,148,149,290,291,228,198,1993,1993,2074,2075,148,149,290,291,194,195,1993,2120,2121,148,149,2075,2074,194,195,194,194,195,1993,2075,2074,148,149,290,291,194,195,194,194,195,1992,1993,1993,2120,2121,148,194,194,195,1992,1993,2074,194,195,1992,2075,2075,2074,148,149,290,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,1993,2075,2074,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,1993,2120,2121,148,149,290,291,194,195,194,194,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131
145,146,146,1996,1999,2144,1999,1999,2000,2144,2145,2063,1992,1992,1993,2063,2064,1999,2063,2063,2064,1999,2000,2144,1999,1999,2000,2144,291,100,70,70,70,100,2000,2075,2074,2074,2074,2075,291,70,70,70,100,2075,398,399,399,410,411,403,404,399,398,399,399,398,399,398,398,399,398,398,399,398,398,399,398,399,398,399,398,398,398,398,399,398,399,398,398,399,2074,2075,291,290,291,2120,2120,2121,100,70,70,2000,194,195,194,195,70,70,70,100,1999,2000,194,195,2120,2121,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,2000,194,195,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195
142,143,143,1999,2063,1999,2063,2063,2064,1999,2000,322,323,403,404,406,408,403,404,406,1993,2063,2064,1999,2063,2144,1999,1999,156,130,131,130,130,131,2064,2120,2121,2074,2074,2075,156,131,2063,2064,2074,2075,462,463,463,474,475,467,468,463,462,463,463,462,463,462,462,463,462,462,463,462,462,463,462,463,462,463,462,462,462,462,463,462,463,462,462,463,2074,2075,85,155,156,2074,2074,2075,130,131,131,2064,270,271,84,85,131,130,130,131,2063,2064,270,271,2074,2075,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,2064,270,271,84,85,155,156,130,156,130,131,130,130,131,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2064,270,271,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,291,100,2000,194,195,194,195,290,291,100,70,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,2000,194
1992,1993,1994,2063,2016,2063,1992,1992,1993,2063,2064,386,387,467,468,470,472,467,468,470,421,359,360,2063,1992,1999,2063,2063,291,194,195,194,194,195,1993,2074,2075,2075,2075,2074,291,195,1992,1993,2074,1167,1168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,924,1992,149,290,291,2074,2074,2075,194,195,195,1993,2120,2063,1992,1999,2000,1999,2063,2074,2075,2074,1999,2063,2074,2075,2074,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,291,194,195,194,194,195,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,70,70,70,291,100,70,70,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,1993,2120,2121,70,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,148,149,290,291,228,198,148,149,290,291,156,164,2064,270,271,84,85,155,156,130,131,130,130,130,131,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2064,270
2056,2057,2058,1999,2080,2144,2144,2145,2080,2081,386,450,451,-1,-1,534,-1,-1,-1,534,485,423,424,359,360,2063,1992,1992,1993,2063,2064,2063,1992,1992,1993,2074,2075,2120,2120,2074,2074,2074,2074,1167,2074,1167,1168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,924,1992,1999,2063,2064,2063,1992,1992,1999,2063,2063,2075,2063,2144,2000,1999,2144,1999,1999,2063,1992,1999,2063,2064,2063,1992,1999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,2000,194,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,1999,2000,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,194,195,290,291,290,291,100,70,195,290,291,290,291,100,2000,194,195,194,195,291,100,290,291,100,70,195,290,291,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1993,2120
2120,2121,2122,2063,2144,1999,1999,2000,2144,2145,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,487,488,423,424,398,399,410,411,403,404,398,399,401,403,404,406,2074,2074,2074,2074,2074,2074,2074,2074,1170,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,924,398,399,398,399,2064,2063,2063,1992,1992,1992,2074,2063,2064,2063,2063,2063,2144,2000,2064,2063,1992,1992,1999,2064,2063,1992,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,2064,270,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,2063,2064,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,270,271,84,85,155,156,164,134,271,84,85,155,156,164,2064,270,271,84,85,156,164,155,156,164,134,271,84,85,100,2000,194,195,194,195,290,291,100,70,70,70,100,195,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,2000,194,195
1999,2000,1992,1993,1999,2063,2063,2064,1999,2000,1292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,487,488,462,463,474,475,467,468,462,463,465,467,468,470,2074,2074,2075,2075,2074,2074,2074,2074,1167,1168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,462,462,463,462,463,924,2010,2075,2074,2075,2075,2000,2074,2074,2074,2075,1992,1999,2064,2074,2075,2074,2075,2074,2074,2075,2074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,1992,1993,2120,2121,148,149,290,291,228,198,148,149,290,291,194,195,194,194,195,194,195,1992,1993,2120,2121,148,1170,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1310,2074,149,291,228,290,291,228,198,2121,148,149,164,2064,270,271,84,85,155,156,130,131,130,130,131,271,84,85,155,156,130,131,130,130,131,2063,2064,270,271,84,85,155,156,164,134,84,85,155,156,130,131,130,130,131,2064,270,271
2063,2064,2056,2057,2063,1992,1992,1993,2063,2064,1356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,526,527,-1,-1,-1,-1,526,527,-1,-1,-1,793,2075,2074,2120,2120,2074,1992,2074,1992,1170,1171,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,793,2074,2063,2145,2144,2144,2074,2000,1999,2063,2063,2075,2074,2074,1999,2063,2145,2144,2000,1999,2063,2145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,291,100,70,70,70,100,2000,194,195,290,291,290,291,100,70,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,291,290,291,2000,194,195,194,195,290,291,100,291,100,291,100,70,70,70,100,1167,1168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1374,1992,290,100,2000,194,195,290,291,100,70,70,70,100,1999,2000,194,195,290,228,1993,2120,2121,148,149,290,291,194,195,194,194,195,195,194,195,290,291,100,70,70,70,100,291,228,198,148,149,290,291,194,195,194,194,195,1993,2120,2121
